DATE,AUINSA
2012-04-01,877.3
2012-05-01,905.7
2012-06-01,931.5
2012-07-01,999.3
2012-08-01,1014.7
2012-09-01,1020.6
2012-10-01,1040.9
2012-11-01,1056.8
2012-12-01,1067.8
2013-01-01,1074.6
2013-02-01,1077.1
2013-03-01,1105.5
2013-04-01,1125.9
2013-05-01,1149.2
2013-06-01,1163.4
2013-07-01,1119.5
2013-08-01,1147.1
2013-09-01,1166.8
2013-10-01,1198.1
2013-11-01,1211.2
2013-12-01,1231.0
2014-01-01,1248.2
2014-02-01,1281.4
2014-03-01,1277.3
2014-04-01,1250.1
2014-05-01,1227.0
2014-06-01,1223.3
2014-07-01,1263.7
2014-08-01,1242.5
2014-09-01,1230.3
2014-10-01,1222.3
2014-11-01,1230.2
2014-12-01,1218.0
2015-01-01,1222.9
2015-02-01,1244.2
2015-03-01,1232.7
2015-04-01,1241.0
2015-05-01,1250.3
2015-06-01,1232.0
2015-07-01,1248.6
2015-08-01,1245.2
2015-09-01,1230.8
2015-10-01,1185.8
2015-11-01,1167.0
2015-12-01,1156.0
2016-01-01,1126.2
2016-02-01,1117.7
2016-03-01,1122.9
2016-04-01,1115.2
2016-05-01,1104.3
2016-06-01,1119.8
2016-07-01,1135.3
2016-08-01,1155.8
2016-09-01,1165.6
2016-10-01,1158.3
2016-11-01,1175.5
2016-12-01,1143.9
2017-01-01,1150.0
2017-02-01,1144.6
2017-03-01,1158.2
2017-04-01,1163.5
2017-05-01,1172.8
2017-06-01,1168.8
2017-07-01,1092.5
2017-08-01,1068.6
2017-09-01,1001.8
2017-10-01,940.2
2017-11-01,910.4
2017-12-01,862.8
2018-01-01,868.4
2018-02-01,867.2
2018-03-01,870.3
2018-04-01,884.6
2018-05-01,867.2
2018-06-01,839.8
2018-07-01,810.9
2018-08-01,780.4
2018-09-01,734.7
2018-10-01,709.2
2018-11-01,702.3
2018-12-01,722.5
2019-01-01,724.7
2019-02-01,715.4
2019-03-01,678.0
2019-04-01,655.0
2019-05-01,641.1
2019-06-01,637.5
2019-07-01,626.6
2019-08-01,625.9
2019-09-01,619.4
2019-10-01,567.9
2019-11-01,524.1
2019-12-01,496.2
2020-01-01,490.8
2020-02-01,504.6
2020-03-01,544.7
2020-04-01,462.0
2020-05-01,362.9
2020-06-01,366.5
2020-07-01,423.9
2020-08-01,441.6
2020-09-01,449.4
2020-10-01,439.3
2020-11-01,435.6
2020-12-01,426.5
2021-01-01,395.9
2021-02-01,373.4
2021-03-01,317.2
2021-04-01,255.5
2021-05-01,187.0
